Age,Age_Group,Gender,Education_Label,Department,MonthlyIncome,JobLevel,YearsAtCompany,OverTime,Attrition,Attrition_Binary,AI_Risk_Score_LR,AI_Risk_Score_RF,AI_Flag_LR,AI_Flag_RF
41,36-45,Female,College,Sales,5993,2,6,1,Yes,1,0.5057988677551873,0.66,1,1
49,46-60,Male,Below College,Research & Development,5130,2,10,0,No,0,0.025955383606220468,0.06,0,0
37,36-45,Male,College,Research & Development,2090,1,0,1,Yes,1,0.3113723370266512,0.44,0,0
33,26-35,Female,Master,Research & Development,2909,1,8,1,No,0,0.12410977419537955,0.31,0,0
27,26-35,Male,Below College,Research & Development,3468,1,2,0,No,0,0.49971958639639125,0.12,0,0
32,26-35,Male,College,Research & Development,3068,1,7,0,No,0,0.030693848094338522,0.03,0,0
59,46-60,Female,Bachelor,Research & Development,2670,1,1,1,No,0,0.19431986117182007,0.07,0,0
30,26-35,Male,Below College,Research & Development,2693,1,1,0,No,0,0.15105295469422744,0.21,0,0
38,36-45,Male,Bachelor,Research & Development,9526,3,9,0,No,0,0.02993116468936147,0.01,0,0
36,36-45,Male,Bachelor,Research & Development,5237,2,7,0,No,0,0.1354110738685085,0.03,0,0
35,26-35,Male,Bachelor,Research & Development,2426,1,5,0,No,0,0.17459693885556743,0.14,0,0
29,26-35,Female,College,Research & Development,4193,2,9,1,No,0,0.19409534710390142,0.05,0,0
31,26-35,Male,Below College,Research & Development,2911,1,5,0,No,0,0.39239928494093573,0.06,0,0
34,26-35,Male,College,Research & Development,2661,1,2,0,No,0,0.13011292158254908,0.06,0,0
28,26-35,Male,Bachelor,Research & Development,2028,1,4,1,Yes,1,0.6329674544856115,0.79,1,1
29,26-35,Female,Master,Research & Development,9980,3,10,0,No,0,0.15613462183759422,0.16,0,0
32,26-35,Male,College,Research & Development,3298,1,6,1,No,0,0.557436509561086,0.24,1,0
22,18-25,Male,College,Research & Development,2935,1,1,1,No,0,0.5218904338635022,0.73,1,1
53,46-60,Female,Master,Sales,15427,4,25,0,No,0,0.008379916478333317,0.03,0,0
38,36-45,Male,Bachelor,Research & Development,3944,1,3,1,No,0,0.2054940195953129,0.01,0,0
24,18-25,Female,College,Research & Development,4011,2,4,0,No,0,0.229676372643816,0.02,0,0
36,36-45,Male,Master,Sales,3407,1,5,0,Yes,1,0.19336062218914735,0.65,0,1
34,26-35,Female,Master,Research & Development,11994,3,12,0,No,0,0.07482796471246286,0.04,0,0
21,18-25,Male,College,Research & Development,1232,1,0,0,No,0,0.17923262210388569,0.13,0,0
34,26-35,Male,Below College,Research & Development,2960,1,4,0,Yes,1,0.21337180893250005,0.11,0,0
53,46-60,Female,Bachelor,Research & Development,19094,5,14,0,No,0,0.00518722733004432,0.0,0,0
32,26-35,Female,Below College,Research & Development,3919,1,10,1,Yes,1,0.49858578981186286,0.71,0,1
42,36-45,Male,Master,Sales,6825,2,9,0,No,0,0.038454828513037616,0.07,0,0
44,36-45,Female,Master,Research & Development,10248,3,22,0,No,0,0.033833994087203646,0.04,0,0
46,46-60,Female,Master,Sales,18947,5,2,0,No,0,0.04137853882717913,0.0,0,0
33,26-35,Male,Bachelor,Research & Development,2496,1,1,0,No,0,0.08821518555910252,0.1,0,0
44,36-45,Male,Master,Research & Development,6465,2,4,1,No,0,0.07325064417365909,0.05,0,0
30,26-35,Male,College,Research & Development,2206,1,10,0,No,0,0.08785932269962712,0.02,0,0
39,36-45,Male,Bachelor,Sales,2086,2,1,0,Yes,1,0.01607641825379891,0.72,0,1
24,18-25,Male,Bachelor,Research & Development,2293,1,2,1,Yes,1,0.5350414618057109,0.76,1,1
43,36-45,Female,College,Research & Development,2645,1,5,0,No,0,0.03627462063132174,0.02,0,0
50,46-60,Male,College,Sales,2683,1,3,1,Yes,1,0.2801205420424681,0.21,0,0
35,26-35,Female,Bachelor,Sales,2014,1,2,0,No,0,0.03713740583017447,0.09,0,0
36,36-45,Female,Master,Research & Development,3419,1,1,1,No,0,0.6579081445266195,0.08,1,0
33,26-35,Female,Bachelor,Sales,5376,2,5,0,No,0,0.0835202355484495,0.02,0,0
35,26-35,Male,College,Research & Development,1951,1,1,0,No,0,0.08210392743555105,0.02,0,0
27,26-35,Female,Master,Research & Development,2341,1,1,0,No,0,0.1308029672198598,0.49,0,0
26,26-35,Male,Bachelor,Research & Development,2293,1,1,0,Yes,1,0.533336361733343,0.93,1,1
27,26-35,Male,Bachelor,Sales,8726,3,9,0,No,0,0.046300292971345074,0.04,0,0
30,26-35,Female,College,Research & Development,4011,2,12,0,No,0,0.025182927164728978,0.02,0,0
41,36-45,Female,Bachelor,Research & Development,19545,5,22,0,Yes,1,0.012046208975788692,0.02,0,0
34,26-35,Male,Master,Sales,4568,2,9,0,No,0,0.10842822812910455,0.01,0,0
37,36-45,Male,College,Research & Development,3022,1,1,0,No,0,0.26088093859528105,0.04,0,0
46,46-60,Male,Master,Sales,5772,2,9,1,No,0,0.1604877297773866,0.06,0,0
35,26-35,Male,Below College,Research & Development,2269,1,1,0,No,0,0.06095747327446295,0.06,0,0
48,46-60,Male,College,Research & Development,5381,3,1,1,Yes,1,0.34714473490398845,0.74,0,1
28,26-35,Male,Master,Research & Development,3441,1,2,1,Yes,1,0.44619491731691335,0.68,0,1
44,36-45,Female,Doctor,Sales,5454,2,4,1,No,0,0.4303784094195784,0.02,0,0
35,26-35,Male,College,Research & Development,9884,3,4,1,No,0,0.42822858215203174,0.13,0,0
26,26-35,Female,Bachelor,Sales,4157,2,2,1,No,0,0.671420582008366,0.14,1,0
33,26-35,Female,College,Research & Development,13458,3,15,1,No,0,0.08374283640558511,0.06,0,0
35,26-35,Male,Doctor,Sales,9069,3,9,0,No,0,0.14294056245778472,0.04,0,0
35,26-35,Female,Master,Research & Development,4014,1,2,1,No,0,0.571888561264996,0.14,1,0
31,26-35,Male,Master,Research & Development,5915,2,7,0,No,0,0.03944999223302801,0.04,0,0
37,36-45,Male,Master,Research & Development,5993,2,7,0,No,0,0.06300162944467048,0.01,0,0
32,26-35,Male,Bachelor,Research & Development,6162,2,9,1,No,0,0.18876234885133697,0.08,0,0
38,36-45,Female,Doctor,Research & Development,2406,2,10,0,No,0,0.06655154498819936,0.03,0,0
50,46-60,Female,College,Research & Development,18740,5,27,1,No,0,0.18143252045060015,0.04,0,0
59,46-60,Female,Bachelor,Sales,7637,3,21,0,No,0,0.05451404116756401,0.05,0,0
36,36-45,Female,Bachelor,Research & Development,10096,3,17,0,No,0,0.014597433791784584,0.01,0,0
55,46-60,Female,Bachelor,Research & Development,14756,4,5,1,No,0,0.03828460842228405,0.01,0,0
36,36-45,Male,Bachelor,Research & Development,6499,2,6,0,No,0,0.11224168300295742,0.02,0,0
45,36-45,Male,Bachelor,Research & Development,9724,3,1,0,No,0,0.048941088755657086,0.01,0,0
35,26-35,Male,Bachelor,Research & Development,2194,1,3,0,No,0,0.3156547673733115,0.03,0,0
36,36-45,Male,Bachelor,Research & Development,3388,1,1,1,Yes,1,0.3269126296838581,0.31,0,0
59,46-60,Female,Below College,Sales,5473,2,4,0,No,0,0.05166792012493739,0.1,0,0
29,26-35,Male,Bachelor,Research & Development,2703,1,5,0,No,0,0.07632900425333349,0.04,0,0
31,26-35,Male,Master,Research & Development,2501,1,1,0,No,0,0.12217557707009069,0.14,0,0
32,26-35,Male,Bachelor,Research & Development,6220,2,10,0,No,0,0.10060543878642444,0.02,0,0
36,36-45,Female,Bachelor,Research & Development,3038,1,1,0,No,0,0.10596511222528449,0.02,0,0
31,26-35,Female,Master,Research & Development,4424,2,11,0,No,0,0.033610170940173704,0.01,0,0
35,26-35,Male,Master,Sales,4312,2,15,0,No,0,0.029805726284025724,0.01,0,0
45,36-45,Male,Master,Research & Development,13245,3,0,1,No,0,0.11937037706922657,0.03,0,0
37,36-45,Male,Master,Research & Development,13664,3,5,0,No,0,0.0739927100945507,0.06,0,0
46,46-60,Male,College,Human Resources,5021,2,4,1,No,0,0.372517749030208,0.06,0,0
30,26-35,Male,Below College,Research & Development,5126,2,10,1,No,0,0.13925802921792296,0.01,0,0
35,26-35,Male,Bachelor,Research & Development,2859,1,6,0,No,0,0.0762316686479339,0.01,0,0
55,46-60,Male,College,Sales,10239,3,1,0,No,0,0.01599181539571617,0.07,0,0
38,36-45,Female,Bachelor,Research & Development,5329,2,13,1,No,0,0.16961081618707954,0.03,0,0
34,26-35,Male,College,Research & Development,4325,2,5,0,No,0,0.18789941787015868,0.01,0,0
56,46-60,Male,Bachelor,Research & Development,7260,3,6,0,No,0,0.004940756850631868,0.04,0,0
23,18-25,Male,Below College,Sales,2322,1,0,0,No,0,0.3055596213730735,0.16,0,0
51,46-60,Male,Master,Research & Development,2075,1,4,0,No,0,0.018406270482925743,0.03,0,0
30,26-35,Male,Bachelor,Research & Development,4152,2,11,0,No,0,0.025007844290979273,0.01,0,0
46,46-60,Male,College,Sales,9619,3,9,0,Yes,1,0.015202804570025576,0.7,0,1
40,36-45,Male,Master,Research & Development,13503,4,22,0,No,0,0.044632685108506806,0.01,0,0
51,46-60,Male,Master,Sales,5441,2,10,1,No,0,0.12733076662151896,0.03,0,0
30,26-35,Female,College,Sales,5209,2,11,1,No,0,0.24703156809972174,0.02,0,0
46,46-60,Male,Bachelor,Research & Development,10673,3,10,1,No,0,0.08471780538923875,0.07,0,0
32,26-35,Male,Master,Sales,5010,2,11,0,No,0,0.07077634713693665,0.0,0,0
54,46-60,Female,Master,Research & Development,13549,3,4,0,No,0,0.0917303238909197,0.04,0,0
24,18-25,Female,College,Sales,4999,2,3,0,No,0,0.20503868939098824,0.02,0,0
28,26-35,Male,Bachelor,Sales,4221,2,5,0,No,0,0.09036683884887818,0.03,0,0
58,46-60,Male,Master,Sales,13872,4,37,0,No,0,0.005011474924697155,0.04,0,0
44,36-45,Male,Bachelor,Research & Development,2042,2,3,0,No,0,0.10905300221207169,0.05,0,0
37,36-45,Male,Master,Human Resources,2073,1,3,1,Yes,1,0.44564397214409307,0.76,0,1
32,26-35,Male,Below College,Research & Development,2956,1,1,0,No,0,0.14037776790186504,0.12,0,0
20,18-25,Female,Bachelor,Research & Development,2926,1,1,1,Yes,1,0.2937548918993045,0.8,0,1
34,26-35,Female,Master,Research & Development,4809,2,16,0,No,0,0.03937192350174278,0.03,0,0
37,36-45,Male,College,Research & Development,5163,2,1,0,No,0,0.039244462120681875,0.11,0,0
59,46-60,Female,Master,Human Resources,18844,5,3,0,No,0,0.0061736702008140425,0.03,0,0
50,46-60,Female,Bachelor,Research & Development,18172,5,8,1,No,0,0.11314671681772186,0.04,0,0
25,18-25,Male,Bachelor,Sales,5744,2,6,1,Yes,1,0.3634124245918564,0.66,0,1
25,18-25,Male,Below College,Research & Development,2889,1,2,0,No,0,0.08593382487881661,0.04,0,0
22,18-25,Female,Bachelor,Research & Development,2871,1,0,0,No,0,0.19283019144650484,0.55,0,1
51,46-60,Female,Master,Research & Development,7484,3,13,0,No,0,0.03053574389894815,0.03,0,0
34,26-35,Male,Bachelor,Research & Development,6074,2,9,1,Yes,1,0.27181819719811395,0.63,0,1
54,46-60,Female,Bachelor,Human Resources,17328,4,5,1,No,0,0.03029505045457707,0.01,0,0
24,18-25,Male,Below College,Research & Development,2774,1,5,0,No,0,0.21526652810658084,0.02,0,0
34,26-35,Female,Master,Research & Development,4505,2,1,0,No,0,0.1440832225349492,0.13,0,0
37,36-45,Male,Bachelor,Sales,7428,3,5,0,No,0,0.0344824679856798,0.01,0,0
34,26-35,Female,Bachelor,Research & Development,11631,3,11,0,No,0,0.03301937191316343,0.02,0,0
36,36-45,Female,College,Sales,9738,3,9,0,No,0,0.02556525892985042,0.09,0,0
36,36-45,Female,College,Research & Development,2835,1,1,0,No,0,0.14482222795075553,0.06,0,0
43,36-45,Male,College,Sales,16959,4,25,1,No,0,0.04100195635386599,0.03,0,0
30,26-35,Male,Bachelor,Research & Development,2613,1,10,0,No,0,0.21528041899078476,0.01,0,0
33,26-35,Male,College,Sales,6146,2,7,0,No,0,0.06901583595393716,0.01,0,0
56,46-60,Female,Master,Research & Development,4963,1,5,1,Yes,1,0.4036278838809429,0.22,0,0
51,46-60,Male,Bachelor,Research & Development,19537,5,20,0,No,0,0.011909397242370653,0.1,0,0
31,26-35,Male,Master,Sales,6172,2,7,1,Yes,1,0.35857044524392573,0.71,0,1
26,26-35,Female,Bachelor,Research & Development,2368,1,5,0,No,0,0.1458935948312437,0.02,0,0
58,46-60,Female,Master,Research & Development,10312,3,40,0,Yes,1,0.005744240758205611,0.13,0,0
19,18-25,Male,Below College,Sales,1675,1,0,1,Yes,1,0.6657883138851907,0.95,1,1
22,18-25,Male,Below College,Research & Development,2523,1,2,0,No,0,0.1052465190654749,0.04,0,0
49,46-60,Female,Master,Research & Development,6567,2,15,0,No,0,0.040666517952293604,0.03,0,0
43,36-45,Female,Bachelor,Research & Development,4739,1,3,0,No,0,0.10336858291202182,0.04,0,0
50,46-60,Female,Bachelor,Sales,9208,3,2,0,No,0,0.021140968018351497,0.02,0,0
31,26-35,Female,Bachelor,Sales,4559,2,2,1,Yes,1,0.5711308958934362,0.41,1,0
41,36-45,Male,Below College,Sales,8189,3,9,1,No,0,0.15698552570026245,0.07,0,0
26,26-35,Female,Below College,Human Resources,2942,1,8,0,No,0,0.09540866897166383,0.04,0,0
36,36-45,Male,College,Research & Development,4941,2,3,0,No,0,0.23716439899476688,0.14,0,0
51,46-60,Male,Master,Research & Development,10650,3,4,0,Yes,1,0.028737652335854253,0.08,0,0
39,36-45,Female,Master,Sales,5902,2,15,0,No,0,0.01414486268021011,0.01,0,0
25,18-25,Male,Bachelor,Sales,8639,2,2,0,No,0,0.3249777928810246,0.13,0,0
30,26-35,Male,Bachelor,Human Resources,6347,2,11,1,No,0,0.18988607647402844,0.01,0,0
32,26-35,Female,Bachelor,Research & Development,4200,1,5,0,Yes,1,0.2777001778923226,0.75,0,1
45,36-45,Male,Bachelor,Research & Development,3452,1,6,0,No,0,0.12033354359038043,0.06,0,0
38,36-45,Female,Doctor,Research & Development,4317,2,3,1,No,0,0.09505425923000821,0.0,0,0
30,26-35,Female,Bachelor,Research & Development,2632,1,5,0,No,0,0.24217840516541805,0.05,0,0
32,26-35,Male,College,Sales,4668,2,8,0,No,0,0.01848372434761076,0.04,0,0
30,26-35,Female,Bachelor,Research & Development,3204,1,3,0,No,0,0.15278000937277844,0.07,0,0
30,26-35,Male,Below College,Research & Development,2720,1,5,0,No,0,0.07537973250992148,0.02,0,0
41,36-45,Male,Bachelor,Research & Development,17181,4,7,0,No,0,0.0386248639200025,0.04,0,0
41,36-45,Male,Master,Research & Development,2238,1,5,0,No,0,0.14742742879704973,0.15,0,0
