Gender,Age_Group,Education_Label,Total,Actual_Attrition,AI_Risk_Score,Bias_Gap
Female,18-25,Bachelor,16,50.0,33.1,-16.9
Female,18-25,Below College,13,46.2,31.6,-14.600000000000001
Female,18-25,College,9,33.3,37.4,4.100000000000001
Female,18-25,Master,1,0.0,27.7,27.7
Female,26-35,Bachelor,99,22.2,19.4,-2.8000000000000007
Female,26-35,Below College,27,14.8,18.1,3.3000000000000007
Female,26-35,College,42,19.0,20.9,1.8999999999999986
Female,26-35,Doctor,5,40.0,15.1,-24.9
Female,26-35,Master,65,15.4,18.7,3.299999999999999
Female,36-45,Bachelor,72,8.3,10.8,2.5
Female,36-45,Below College,13,0.0,7.1,7.1
Female,36-45,College,40,10.0,13.2,3.1999999999999993
Female,36-45,Doctor,11,0.0,15.6,15.6
Female,36-45,Master,50,6.0,13.5,7.5
Female,46-60,Bachelor,45,4.4,6.0,1.5999999999999996
Female,46-60,Below College,7,14.3,4.6,-9.700000000000001
Female,46-60,College,25,12.0,6.2,-5.8
Female,46-60,Doctor,6,16.7,1.8,-14.899999999999999
Female,46-60,Master,38,7.9,7.2,-0.7000000000000002
Male,18-25,Bachelor,24,41.7,35.7,-6.0
Male,18-25,Below College,34,26.5,29.9,3.3999999999999986
Male,18-25,College,16,18.8,25.6,6.800000000000001
Male,18-25,Master,2,50.0,21.5,-28.5
Male,26-35,Bachelor,152,18.4,19.6,1.2000000000000028
Male,26-35,Below College,44,13.6,18.6,5.000000000000002
Male,26-35,College,61,16.4,21.1,4.700000000000003
Male,26-35,Doctor,12,8.3,11.7,3.3999999999999986
Male,26-35,Master,99,25.3,20.6,-4.699999999999999
Male,36-45,Bachelor,112,13.4,13.4,0.0
Male,36-45,Below College,19,10.5,15.6,5.1
Male,36-45,College,61,8.2,12.8,4.600000000000001
Male,36-45,Doctor,9,11.1,23.1,12.000000000000002
Male,36-45,Master,81,8.6,14.3,5.700000000000001
Male,46-60,Bachelor,47,12.8,4.9,-7.9
Male,46-60,Below College,12,16.7,5.1,-11.6
Male,46-60,College,26,26.9,10.3,-16.599999999999998
Male,46-60,Doctor,5,0.0,4.1,4.1
Male,46-60,Master,62,14.5,7.5,-7.0
